Id,Prediction
1,3
2,3
3,2
4,3
5,2
6,2
7,2
8,2
9,3
10,3
11,1
12,3
13,3
14,3
15,3
16,3
17,2
18,2
19,1
20,2
21,2
22,2
23,2
24,1
25,3
26,2
27,3
28,3
29,2
30,0
31,2
32,2
33,1
34,2
35,1
36,2
37,3
38,3
39,2
40,2
41,0
42,2
43,3
44,2
45,3
46,2
47,2
48,2
49,1
50,2
51,3
52,3
53,2
54,2
55,1
56,3
57,2
58,2
59,2
60,2
61,2
62,3
63,2
64,3
65,1
66,3
67,2
68,3
69,2
70,3
71,3
72,2
73,3
74,2
75,3
76,2
77,3
78,3
79,2
80,3
81,2
82,1
83,2
84,2
85,2
86,3
87,3
88,3
89,2
90,2
91,2
92,1
93,2
94,2
95,2
96,3
97,2
98,2
99,3
100,1
101,3
102,3
103,2
104,3
105,3
106,3
107,1
108,1
109,1
110,3
111,3
112,2
113,2
114,1
115,2
116,3
117,2
118,2
119,2
120,1
121,2
122,3
123,2
124,3
125,2
126,3
127,2
128,3
129,2
130,3
131,3
132,3
133,3
134,2
135,2
136,2
137,3
138,2
139,3
140,2
141,2
142,0
143,3
144,3
145,2
146,2
147,1
148,2
149,3
150,2
151,3
152,2
153,2
154,2
155,3
156,3
157,3
158,2
159,1
160,2
161,2
162,2
163,3
164,1
165,3
166,3
167,2
168,1
169,1
170,0
171,1
172,2
173,2
174,1
175,1
176,3
177,1
178,2
179,3
180,3
181,1
182,3
183,1
184,1
185,3
186,3
187,1
188,3
189,2
190,2
191,2
192,1
193,3
194,2
195,3
196,3
197,3
198,1
199,1
200,2
201,3
202,2
203,3
204,1
205,2
206,3
207,3
208,1
209,2
210,1
211,3
212,2
213,3
214,1
215,1
216,3
217,2
218,2
219,1
220,2
221,3
222,3
223,2
224,1
225,1
226,3
227,3
228,2
229,2
230,3
231,2
232,0
233,2
234,2
235,3
236,3
237,3
238,3
239,3
240,3
241,2
242,1
243,1
244,3
245,1
246,3
247,2
248,3
249,1
250,3
251,2
252,1
253,2
254,3
255,2
256,1
257,3
258,1
259,2
260,2
261,2
262,3
263,1
264,2
265,3
266,0
267,2
268,2
269,2
270,3
271,1
272,2
273,2
274,3
275,3
276,3
277,3
278,2
279,1
280,2
281,3
282,3
283,3
284,1
285,2
286,2
287,1
288,3
289,1
290,2
291,2
292,3
293,1
294,2
295,3
296,2
297,2
298,2
299,2
300,2
301,1
302,2
303,2
304,3
305,3
306,3
307,2
308,3
309,3
310,2
311,3
312,1
313,3
314,3
315,3
316,2
317,2
318,2
319,1
320,2
321,1
322,2
323,3
324,1
325,2
326,2
327,2
328,1
329,2
330,3
331,2
332,3
333,3
334,2
335,2
336,3
337,1
338,3
339,2
340,1
341,2
342,3
343,2
344,2
345,1
346,2
347,2
348,1
349,3
350,3
351,3
352,1
353,2
354,3
355,2
356,2
357,2
358,3
359,0
360,2
361,1
362,2
363,3
364,1
365,2
366,2
367,0
368,3
369,3
370,3
371,2
372,2
373,3
374,3
375,3
376,3
377,2
378,2
379,3
380,2
381,2
382,2
383,2
384,1
385,2
386,2
387,3
388,3
389,2
390,2
391,3
392,3
393,2
394,2
395,3
396,3
397,1
398,3
399,2
400,1
401,3
402,0
403,2
404,2
405,3
406,1
407,3
408,3
409,2
410,3
411,3
412,2
413,3
414,1
415,3
416,2
417,2
418,1
419,2
420,2
421,2
422,2
423,2
424,2
425,3
426,2
427,1
428,2
429,1
430,3
431,2
432,2
433,3
434,2
435,2
436,3
437,3
438,2
439,1
440,2
441,3
442,1
443,3
444,2
445,2
446,3
447,2
448,3
449,3
450,1
451,3
452,2
453,1
454,1
455,2
456,2
457,2
458,2
459,3
460,2
461,1
462,1
463,2
464,3
465,3
466,3
467,3
468,3
469,1
470,3
471,2
472,2
473,3
474,2
475,3
476,3
477,3
478,3
479,0
480,1
481,3
482,2
483,3
484,3
485,2
486,2
487,2
488,2
489,2
490,3
491,3
492,1
493,3
494,3
495,3
496,2
497,2
498,3
499,2
500,3
501,1
502,2
503,2
504,3
505,1
506,1
507,2
508,2
509,2
510,3
511,3
512,3
513,1
514,3
515,2
516,3
517,3
518,3
519,2
520,2
521,3
522,2
523,3
524,2
525,3
526,2
527,3
528,1
529,3
530,2
531,3
532,2
533,1
534,3
535,3
536,1
537,2
538,1
539,3
540,3
541,3
542,2
543,3
544,2
545,3
546,2
547,2
548,2
549,1
550,3
551,1
552,3
553,3
554,1
555,3
556,3
557,1
558,2
559,3
560,3
561,3
562,2
563,2
564,1
565,3
566,2
567,1
568,3
569,2
570,2
571,3
572,1
573,3
574,3
575,2
576,2
577,1
578,3
579,1
580,0
581,2
582,1
583,2
584,3
585,2
586,1
587,2
588,2
589,2
590,1
591,2
592,2
593,3
594,2
595,3
596,2
597,2
598,2
599,1
600,1
601,1
602,3
603,2
604,3
605,2
606,3
607,2
608,2
609,2
610,3
611,1
612,2
613,3
614,3
615,3
616,2
617,2
618,2
619,2
620,3
621,1
622,2
623,2
624,2
625,3
626,3
627,3
628,3
629,1
630,2
631,3
632,2
633,2
634,1
635,3
636,2
637,1
638,1
639,3
640,3
641,2
642,2
643,2
644,2
645,3
646,3
647,3
648,2
649,3
650,2
651,3
652,3
653,2
654,2
655,1
656,2
657,3
658,1
659,2
660,2
661,2
662,2
663,3
664,2
665,1
666,2
667,3
668,1
669,2
670,3
671,2
672,2
673,2
674,2
675,2
676,3
677,2
678,2
679,3
680,3
681,1
682,2
683,2
